[Name]
User Points

[Data]
"Time [s]","Monitor Point: CMZ1","Monitor Point: CMZ2","Monitor Point: CR1","Monitor Point: CR2","Monitor Point: CX1","Monitor Point: CX2","Monitor Point: CY1","Monitor Point: CY2"
2.00000000e+01,-1.37163401e-02,-1.13597646e-01,1.08401632e+00,4.88512278e-01,6.06958807e-01,-1.83991298e-01,8.98160517e-01,4.52538908e-01
2.00200005e+01,-1.39237586e-02,-1.14803672e-01,1.09170556e+00,5.09275556e-01,6.11008227e-01,-1.99042514e-01,9.04704392e-01,4.68768239e-01
2.00399990e+01,-1.41343828e-02,-1.15950868e-01,1.09898281e+00,5.29714108e-01,6.14624321e-01,-2.13884369e-01,9.11043525e-01,4.84613806e-01
2.00599995e+01,-1.43459262e-02,-1.17050409e-01,1.10586357e+00,5.49722910e-01,6.17829859e-01,-2.28277594e-01,9.17180717e-01,5.00084579e-01
2.00799999e+01,-1.45554291e-02,-1.18101627e-01,1.11235940e+00,5.69233358e-01,6.20646000e-01,-2.42066488e-01,9.23115432e-01,5.15199423e-01
2.01000004e+01,-1.47633208e-02,-1.19085453e-01,1.11848533e+00,5.88246167e-01,6.23101354e-01,-2.55133420e-01,9.28845584e-01,5.30038178e-01
2.01199989e+01,-1.49716334e-02,-1.19987920e-01,1.12425280e+00,6.06822491e-01,6.25223398e-01,-2.67292231e-01,9.34366107e-01,5.44782877e-01
2.01399994e+01,-1.51791666e-02,-1.20812073e-01,1.12965155e+00,6.24941826e-01,6.27028406e-01,-2.78424531e-01,9.39653158e-01,5.59492707e-01
2.01599998e+01,-1.53800370e-02,-1.21569678e-01,1.13463688e+00,6.42572820e-01,6.28494859e-01,-2.88575947e-01,9.44666684e-01,5.74128687e-01
2.01800003e+01,-1.55685153e-02,-1.22269668e-01,1.13915038e+00,6.59559846e-01,6.29588485e-01,-2.97862142e-01,9.49358702e-01,5.88470340e-01
2.01999989e+01,-1.57446638e-02,-1.22883692e-01,1.14313090e+00,6.75787807e-01,6.30269706e-01,-3.06487679e-01,9.53681409e-01,6.02290988e-01
2.02199993e+01,-1.59086101e-02,-1.23412587e-01,1.14651346e+00,6.91048563e-01,6.30494773e-01,-3.14577907e-01,9.57585156e-01,6.15295768e-01
2.02399998e+01,-1.60654970e-02,-1.23865828e-01,1.14923155e+00,7.05164492e-01,6.30213916e-01,-3.22260797e-01,9.61022139e-01,6.27220035e-01
2.02600002e+01,-1.62230637e-02,-1.24213807e-01,1.15125465e+00,7.17894614e-01,6.29399061e-01,-3.29872370e-01,9.63973045e-01,6.37618124e-01
2.02799988e+01,-1.63732003e-02,-1.24446951e-01,1.15254545e+00,7.29095161e-01,6.28004849e-01,-3.37659597e-01,9.66421723e-01,6.46193266e-01
2.02999992e+01,-1.65145677e-02,-1.24536179e-01,1.15310824e+00,7.38677859e-01,6.26008928e-01,-3.45923811e-01,9.68385935e-01,6.52672708e-01
2.03199997e+01,-1.66415870e-02,-1.24428891e-01,1.15299666e+00,7.46633351e-01,6.23424053e-01,-3.54981720e-01,9.69919443e-01,6.56848073e-01
2.03400002e+01,-1.67501830e-02,-1.24071762e-01,1.15231574e+00,7.53061771e-01,6.20299399e-01,-3.65174770e-01,9.71112847e-01,6.58596575e-01
2.03599987e+01,-1.68339424e-02,-1.23446979e-01,1.15121734e+00,7.58219838e-01,6.16721332e-01,-3.76785278e-01,9.72088575e-01,6.57974303e-01
2.03799992e+01,-1.68982446e-02,-1.22557618e-01,1.14988792e+00,7.62399912e-01,6.12808764e-01,-3.90035152e-01,9.72989082e-01,6.55077279e-01
2.03999996e+01,-1.69449039e-02,-1.21429563e-01,1.14853859e+00,7.65968204e-01,6.08704925e-01,-4.05042231e-01,9.73970771e-01,6.50113881e-01
2.04200001e+01,-1.69762075e-02,-1.20119587e-01,1.14737213e+00,7.69363642e-01,6.04556441e-01,-4.21754420e-01,9.75179076e-01,6.43462241e-01
2.04399986e+01,-1.70001052e-02,-1.18677519e-01,1.14656866e+00,7.72997379e-01,6.00510776e-01,-4.40011084e-01,9.76732552e-01,6.35543227e-01
2.04599991e+01,-1.70217529e-02,-1.17155977e-01,1.14624572e+00,7.77245998e-01,5.96681535e-01,-4.59535718e-01,9.78698313e-01,6.26847863e-01
2.04799995e+01,-1.70516521e-02,-1.15627907e-01,1.14644384e+00,7.82360613e-01,5.93136013e-01,-4.79910284e-01,9.81082618e-01,6.17878854e-01
2.05000000e+01,-1.70973428e-02,-1.14126489e-01,1.14710677e+00,7.88485467e-01,5.89881897e-01,-5.00779390e-01,9.83815610e-01,6.09039664e-01
2.05200005e+01,-1.71749853e-02,-1.12679116e-01,1.14807153e+00,7.95631468e-01,5.86868525e-01,-5.21710038e-01,9.86738861e-01,6.00706339e-01
2.05399990e+01,-1.72950830e-02,-1.11305751e-01,1.14907408e+00,8.03716004e-01,5.83973765e-01,-5.42366326e-01,9.89619017e-01,5.93125761e-01
