[Name]
User Points

[Data]
"Time [s]","Monitor Point: cm","Monitor Point: cx","Monitor Point: cy"
2.20000005e+00,-2.39365306e-02,1.79385757e+00,2.07442548e-02
2.40000010e+00,-2.60796268e-02,1.73152602e+00,2.17649955e-02
2.60000014e+00,-2.48269103e-02,1.66320896e+00,1.15561290e-02
2.79999995e+00,-2.47687921e-02,1.60092187e+00,2.25356617e-03
3.00000000e+00,-2.60963384e-02,1.53505671e+00,-4.11655987e-03
3.20000005e+00,-2.72859782e-02,1.46814787e+00,-8.00051820e-03
3.40000010e+00,-2.79708542e-02,1.40323830e+00,-1.10583287e-02
3.60000014e+00,-2.87109502e-02,1.34117913e+00,-1.65667422e-02
3.79999995e+00,-3.11234221e-02,1.29200637e+00,-1.60556696e-02
4.00000000e+00,-3.32997777e-02,1.22975087e+00,-2.04879735e-02
4.20000029e+00,-3.48085612e-02,1.17210317e+00,-2.35307328e-02
4.40000010e+00,-3.51165198e-02,1.12486959e+00,-2.68945005e-02
4.59999990e+00,-3.40234265e-02,1.08459616e+00,-3.18385698e-02
4.80000019e+00,-3.24405804e-02,1.04682195e+00,-3.57831120e-02
5.00000000e+00,-3.12676840e-02,1.00927532e+00,-3.63599733e-02
5.20000029e+00,-3.10340896e-02,9.72095847e-01,-3.62561420e-02
5.40000010e+00,-3.13297510e-02,9.36501801e-01,-3.76746096e-02
5.59999990e+00,-3.11238877e-02,9.03529227e-01,-4.20440920e-02
5.80000019e+00,-2.99004950e-02,8.73659611e-01,-4.75002825e-02
6.00000000e+00,-2.75109243e-02,8.47639203e-01,-5.13079725e-02
6.20000029e+00,-2.43805312e-02,8.27138364e-01,-5.16871884e-02
6.40000010e+00,-2.11631898e-02,8.14817309e-01,-4.84487452e-02
6.59999990e+00,-1.84007920e-02,8.12270999e-01,-4.27935347e-02
6.80000019e+00,-1.57095529e-02,8.21141183e-01,-3.60759571e-02
7.00000000e+00,-1.29528567e-02,8.42801332e-01,-2.95278467e-02
7.20000029e+00,-9.39215813e-03,8.77532959e-01,-2.25537140e-02
7.40000010e+00,-5.35040116e-03,9.24246371e-01,-1.43000269e-02
7.59999990e+00,-1.25494588e-03,9.83048379e-01,-5.58537338e-03
7.80000019e+00,2.72588921e-03,1.05378163e+00,4.11352422e-03
8.00000000e+00,6.25228509e-03,1.13530588e+00,1.42532783e-02
8.19999981e+00,9.26023908e-03,1.22523284e+00,2.49497183e-02
8.40000057e+00,1.21066328e-02,1.32058513e+00,3.61452587e-02
8.60000038e+00,1.52859306e-02,1.43890762e+00,4.92758565e-02
8.80000019e+00,1.80160105e-02,1.52528322e+00,6.00857101e-02
9.00000000e+00,2.01444086e-02,1.61238623e+00,6.98422045e-02
9.19999981e+00,2.20127366e-02,1.69479537e+00,8.14457089e-02
9.40000057e+00,2.35087331e-02,1.76550472e+00,9.30884182e-02
9.60000038e+00,2.38057636e-02,1.82565272e+00,1.02892891e-01
9.80000019e+00,2.53540650e-02,1.87481761e+00,1.16253033e-01
1.00000000e+01,2.75016036e-02,1.91695237e+00,1.31243214e-01
1.01999998e+01,2.79511251e-02,1.95314205e+00,1.44056380e-01
1.04000006e+01,2.69243401e-02,1.98382640e+00,1.54561937e-01
1.06000004e+01,2.49262713e-02,2.00523591e+00,1.62641525e-01
1.08000002e+01,2.31441762e-02,2.01666379e+00,1.72111005e-01
1.10000000e+01,2.17807628e-02,2.02369976e+00,1.81929037e-01
1.11999998e+01,1.88067667e-02,2.01414990e+00,1.89646661e-01
1.14000006e+01,1.45424027e-02,1.99249828e+00,1.93335757e-01
1.16000004e+01,9.89845488e-03,1.96201909e+00,1.94058448e-01
